archivo,material,rugosidad,rugosidad_rms,asimetria,curtosis,espesor_promedio,altura_maxima,altura_minima,num_islas,densidad_islas,cobertura_fraccional,energia_difusion,tasa_eventos,energia_promedio,etapa,cobertura_10,cobertura_20,cobertura_30,cobertura_60
Cr_3d_altura_c002_s002_ed0.10_te28077._ep 3.9.dat,Cr,4.5767142099982605,6.181585557120439,0.6861509481911086,-0.7571153978969392,4.1552,18.0,0.0,4,0.0016,53.800000000000004,0.1,28077.0,0.0,coalescencia,12.16,0.0,0.0,0.0
Cr_3d_altura_c003_s004_ed0.14_te92533._ep 3.3.dat,Cr,8.446245689062094,14.379596656373918,0.0033315695466232618,-1.1890514029675312,11.6376,30.0,0.0,1,0.0004,77.84,0.14,92533.0,0.0,crecimiento,56.16,17.4,0.0,0.0
Cr_3d_altura_c004_s006_ed0.09_te85786._ep 2.5.dat,Cr,9.740725689598285,18.387278210763004,-0.33989127679216125,-1.1824863220766824,15.5952,30.0,0.0,1,0.0004,83.39999999999999,0.09,85786.0,0.0,crecimiento,68.84,39.64,0.0,0.0
Fe_3d_altura_c005_s005_ed0.81_te85810._ep 3.1.dat,Fe,9.530181983571982,18.20021977889278,-0.3678143117050267,-1.1278838338707178,15.5056,30.0,0.0,1,0.0004,83.56,0.81,85810.0,0.0,crecimiento,69.36,38.32,0.0,0.0
Fe_3d_altura_c001_s002_ed0.84_te15040._ep 2.3.dat,Fe,4.858507490989388,6.5456550474341375,0.7285808559122209,-0.557763895467656,4.3864,21.0,0.0,8,0.0032,53.559999999999995,0.84,15040.0,0.0,coalescencia,13.4,0.04,0.0,0.0
Cr_3d_altura_c001_s001_ed0.06_te87450._ep 4.4.dat,Cr,2.6396730403593547,3.1360484690131942,1.3009855903080316,0.534942697987828,1.6932,12.0,0.0,90,0.036,33.12,0.06,87450.0,0.0,coalescencia,0.24,0.0,0.0,0.0
Fe_3d_altura_c001_s004_ed0.84_te15040._ep 2.3.dat,Fe,8.61466934014301,14.496854831307376,0.02651844474095863,-1.1592535608203844,11.6596,30.0,0.0,1,0.0004,76.52,0.84,15040.0,0.0,crecimiento,56.279999999999994,17.16,0.0,0.0
Cr_3d_altura_c001_s004_ed0.06_te87450._ep 4.4.dat,Cr,8.272296503390095,14.011095603128258,-0.004819792394829707,-1.1863630424159362,11.3084,30.0,0.0,1,0.0004,77.08,0.06,87450.0,0.0,crecimiento,56.32,15.040000000000001,0.0,0.0
Cr_3d_altura_c001_s002_ed0.01_te63293._ep 4.4.dat,Cr,4.494567369614121,6.070485977250915,0.647506243134953,-0.8701341193398369,4.0804,18.0,0.0,6,0.0024,53.12,0.01,63293.0,0.0,coalescencia,11.4,0.0,0.0,0.0
Fe_3d_altura_c001_s005_ed0.84_te15040._ep 2.3.dat,Fe,9.747938448718273,18.34092691223647,-0.32586583141813974,-1.1621383633388078,15.536,30.0,0.0,1,0.0004,82.76,0.84,15040.0,0.0,crecimiento,68.92,38.64,0.0,0.0
Fe_3d_altura_c001_s006_ed0.72_te18047._ep 4.4.dat,Fe,9.543820987424272,18.038026499592466,-0.2890142523457668,-1.1695447850830694,15.3064,30.0,0.0,1,0.0004,84.16,0.72,18047.0,0.0,crecimiento,67.88,36.68,0.0,0.0
Fe_3d_altura_c004_s002_ed0.69_te71868._ep 3.1.dat,Fe,4.585017269324076,6.259137320749562,0.6157359237274651,-0.8559808968478513,4.2608,18.0,0.0,3,0.0012,54.400000000000006,0.69,71868.0,0.0,coalescencia,11.84,0.0,0.0,0.0
Fe_3d_altura_c001_s003_ed0.84_te15040._ep 2.3.dat,Fe,6.863136495801318,10.396153134693622,0.3613437423076487,-0.9179573314132408,7.8088,28.0,0.0,1,0.0004,67.72,0.84,15040.0,0.0,crecimiento,37.44,3.2800000000000002,0.0,0.0
Cr_3d_altura_c002_s001_ed0.14_te25076._ep 4.1.dat,Cr,2.5872340133818588,3.0688108446106614,1.2580836605584935,0.27002658384653344,1.6504,11.0,0.0,96,0.0384,32.440000000000005,0.14,25076.0,0.0,coalescencia,0.04,0.0,0.0,0.0
Fe_3d_altura_c005_s003_ed0.81_te85810._ep 3.1.dat,Fe,6.572351919975071,10.007497189607399,0.2637260182744328,-1.1959629910362375,7.5468,24.0,0.0,1,0.0004,67.72,0.81,85810.0,0.0,crecimiento,36.76,1.6400000000000001,0.0,0.0
Fe_3d_altura_c002_s005_ed0.84_te66962._ep 4.6.dat,Fe,9.473439924335826,18.288816254749786,-0.41698475689786285,-1.094249007817801,15.644,30.0,0.0,1,0.0004,83.72,0.84,66962.0,0.0,crecimiento,70.12,39.44,0.0,0.0
Cr_3d_altura_c005_s005_ed0.03_te97144._ep 2.4.dat,Cr,9.420715378356359,17.991253430486715,-0.36250918228387435,-1.1108087159944173,15.3276,30.0,0.0,1,0.0004,83.44,0.03,97144.0,0.0,crecimiento,69.28,36.96,0.0,0.0
Cr_3d_altura_c003_s005_ed0.14_te92533._ep 3.3.dat,Cr,9.714818075496835,18.2779211071719,-0.2974576603839159,-1.1557047102937643,15.4824,30.0,0.0,1,0.0004,83.16,0.14,92533.0,0.0,crecimiento,68.60000000000001,37.12,0.0,0.0
Cr_3d_altura_c005_s006_ed0.03_te97144._ep 2.4.dat,Cr,9.420715378356359,17.991253430486715,-0.36250918228387435,-1.1108087159944173,15.3276,30.0,0.0,1,0.0004,83.44,0.03,97144.0,0.0,crecimiento,69.28,36.96,0.0,0.0
Fe_3d_altura_c002_s003_ed0.65_te66120._ep 2.8.dat,Fe,6.571957528773296,9.981923662300769,0.29119688110370145,-1.0939171924552509,7.5132,27.0,0.0,2,0.0008,67.47999999999999,0.65,66120.0,0.0,crecimiento,37.44,1.92,0.0,0.0
Fe_3d_altura_c002_s002_ed0.84_te66962._ep 4.6.dat,Fe,4.808120863705487,6.47555403035138,0.6958724073724584,-0.7425759718694014,4.3376,19.0,0.0,8,0.0032,53.6,0.84,66962.0,0.0,coalescencia,14.2,0.0,0.0,0.0
Cr_3d_altura_c003_s001_ed0.14_te92533._ep 3.3.dat,Cr,2.626518638806891,3.1163440118189776,1.2898642690436304,0.4726155033934818,1.6772,12.0,0.0,114,0.0456,32.68,0.14,92533.0,0.0,coalescencia,0.24,0.0,0.0,0.0
Cr_3d_altura_c005_s003_ed0.03_te97144._ep 2.4.dat,Cr,6.559115294001166,9.984928642709471,0.2763678700993711,-1.1684935147550928,7.5284,24.0,0.0,1,0.0004,67.88,0.03,97144.0,0.0,crecimiento,36.559999999999995,1.68,0.0,0.0
Fe_3d_altura_c001_s001_ed0.72_te18047._ep 4.4.dat,Fe,2.563302994185432,3.044339008717656,1.3111430678461315,0.5915057982227467,1.6424,12.0,0.0,99,0.0396,33.08,0.72,18047.0,0.0,coalescencia,0.16,0.0,0.0,0.0
Cr_3d_altura_c002_s003_ed0.10_te28077._ep 3.9.dat,Cr,6.5702102980041674,9.941388233038683,0.3200810132046887,-1.1362247748933056,7.4608,25.0,0.0,1,0.0004,67.88,0.1,28077.0,0.0,crecimiento,35.4,1.92,0.0,0.0
Cr_3d_altura_c004_s003_ed0.09_te85786._ep 2.5.dat,Cr,6.808602511529073,10.348178583692881,0.32130995452436706,-1.0774218253542056,7.7928,26.0,0.0,2,0.0008,68.36,0.09,85786.0,0.0,crecimiento,37.88,2.88,0.0,0.0
Cr_3d_altura_c004_s001_ed0.09_te85786._ep 2.5.dat,Cr,2.7225285599971216,3.2239727045990945,1.3624599281743333,0.7935596463539607,1.7268,13.0,0.0,95,0.038,33.0,0.09,85786.0,0.0,coalescencia,0.48,0.0,0.0,0.0
Fe_3d_altura_c001_s002_ed0.72_te18047._ep 4.4.dat,Fe,4.580647482616404,6.235543280260349,0.7102824643863156,-0.5471160651046976,4.2308,20.0,0.0,7,0.0028,55.120000000000005,0.72,18047.0,0.0,coalescencia,11.4,0.0,0.0,0.0
